     N       ID            S1G1            S1G2            S1G3            S2G1            S2G2            S2G3        DETECTOR                    
   317     4289       40476.336       35085.481        9507.006         307.402         550.001         539.016           S1
   318     4292        2962.986        3378.366        1220.567        1023.831        2000.757         949.644           S1
   319     4294         264.637        1175.939         567.380       11755.981        9333.591        1606.273           S2
   320     4299       12836.399       19422.885       13587.686        1474.684        4932.717        7221.623           S1
   321     4306        3780.404        2821.602        1061.769         236.846        1881.554         639.172           S1
   322     4308        1408.610        3064.310         691.155        1681.434        4284.647        1077.029           S2
   323     4314        1726.024        1713.994         842.279          58.334         274.212         291.034           S1
   324     4319        5583.805        7260.433        2503.194         114.939         479.528         496.041           S1
   325     4326         222.058        1315.344         521.452        1277.496        4076.121        1320.709           S2
   326     4330        2616.545        2747.782         694.630         154.159         540.109         265.480           S1
   327     4332       28996.144       31345.160       10588.828          34.867         651.473        1578.130           S1
   328     4333         750.447        1128.713         310.439         100.490         175.763         125.043           S1
   329     4334        4968.786        8567.123        3208.956       14430.178       20497.291        6733.749           S2
   330     4341         249.209        2166.516        3144.660       37609.408       47169.836       20469.845           S2
   331     4355        8795.999       11156.933        2304.375        3072.684        8001.479        3260.337           S2
   332     4361        1455.700        9437.693       12276.623       94946.117      132769.039       65193.508           S2
   333     4364        8750.956       28369.794       23051.891       52554.300      110485.760       68258.261           S2
   334     4370        1783.328         296.915          44.954        5450.342        6081.700        1903.601           S2
   335     4372         108.564         425.984         441.284        7496.679        9225.041        3553.403           S2
   336     4375        1166.536        1873.936         998.468         160.506        1081.401        1235.333           S2
   337     4377         257.810        2569.251        1557.049       53526.276       57988.123       13853.613           S2
   338     4387         129.684         641.661         272.072        8544.710       13597.697        4060.896           S2
   339     4388        8945.039        5863.863        1223.009         173.957         682.698         567.628           S1
   340     4390        4480.744       15969.823       16296.897       80603.200      122518.638       67991.027           S2
   341     4394        9841.721       18686.003       13311.953         170.141        1704.158        4420.634           S1
   342     4396          68.662        1174.169        2310.896       17765.605       26469.296       11322.399           S2
   343     4404        8702.524        8341.624        2050.170          92.033         432.485         438.447           S1
   344     4405        4920.768        5215.237        2027.412        2528.404        4630.752        2464.718           S1
   345     4408          82.180         385.226         200.035         956.944        1271.018         471.725           S2
   346     4409         286.307         332.072         129.942        4923.728        4915.824        1198.393           S2
   347     4411       12748.179       11930.188        3407.640         108.162         267.409         276.943           S1
   348     4412       10987.139       10153.681        3290.514         349.837        2004.266        2136.886           S1
   349     4417          77.856         560.434         559.448        6998.580        8601.562        3110.761           S2
   350     4418       18638.145       10374.660        1741.048        2311.130        5646.417        1487.915           S1
   351     4420          68.076         111.100         119.858        2492.184        2887.220         590.252           S2
   352     4422        3154.535        3122.845        1130.979        7910.432        8802.360        2169.866           S2
   353     4426         266.984         922.979         228.822        3002.465        5336.116        1100.428           S2
   354     4428       12705.045       25907.897        8904.656        2058.885       10898.634        7713.916           S1
   355     4431         141.425         151.909          68.284        6863.593        5035.145        1002.983           S2
   356     4438        6277.291       10937.934        8710.007          53.068        1095.686        4142.984           S1
   357     4443        2859.121        3130.581         876.802          30.971         248.778         318.436           S1
   358     4444        4190.604        4150.945        1868.095         138.288         509.816         748.123           S1
   359     4447         783.443         856.118         253.515        4510.604        2667.445         746.520           S2
   360     4449          50.429         805.077         993.008       12009.931       17346.664        7907.468           S2
