         №                       ID                 DETECTOR           SnontrG1_StrG1           SnontrG2_StrG2           SnontrG3_StrG3       SnontrG2G3_StrG2G3       SnontrG1G2_StrG1G2   SnontrG1G2G3_StrG1G2G3              StrG2_StrG1              StrG3_StrG2                         
       251                     3972                       S1                    0.063                    0.257                    0.589                    0.297                    0.150                    0.175                    0.817                    0.136
       252                     3974                       S1                    0.135                    0.261                    1.515                    0.308                    0.204                    0.232                    1.239                    0.039
       253                     3976                       S2                    0.067                    0.166                    0.095                    0.161                    0.105                    0.104                    0.609                    0.064
       254                     3977                       S2                    0.016                    0.184                    0.126                    0.175                    0.121                    0.122                    1.663                    0.183
       255                     3986                       S1                    0.110                    0.189                    0.424                    0.231                    0.142                    0.165                    0.675                    0.216
       256                     3987                       S2                    0.090                    0.070                    0.175                    0.084                    0.082                    0.088                    0.622                    0.158
       257                     3989                       S2                    0.700                    0.698                    0.626                    0.684                    0.699                    0.689                    1.567                    0.247
       258                     3991                       S2                    0.125                    0.086                    0.255                    0.099                    0.105                    0.111                    1.040                    0.087
       259                     3992                       S2                    0.725                    0.599                    0.539                    0.591                    0.654                    0.645                    1.282                    0.147
       260                     3993                       S1                    0.085                    0.301                    0.747                    0.335                    0.197                    0.220                    1.074                    0.084
       261                     3994                       S1                    0.131                    0.313                    0.432                    0.323                    0.184                    0.191                    0.416                    0.095
       262                     3999                       S2                    0.018                    0.050                    0.154                    0.065                    0.035                    0.045                    1.134                    0.162
