ID                      S1G1nom         S1G2nom         S1G3nom         S2G1nom         S2G2nom         S2G3nom         S1BG1nom        S1BG2nom        S1BG3nom        S2BG1nom        S2BG2nom        S2BG3nom        dS1             dS2             dBS1            dBS2           
2937                      7.101          43.640          42.809         121.992         239.883         149.582        1293.041         553.293         217.735        1517.966         585.031         207.212           0.000          -0.044          -0.242          -0.273
2938                     51.324         104.645          43.700          17.088          53.234          35.771        1439.553         618.467         244.370        1716.691         664.158         236.147          -0.082          -0.038          -0.319          -0.356
2939                     22.799          17.125          10.532         525.706         238.770          50.310        1299.599         559.257         221.340        1503.824         587.523         210.968          -0.120          -0.258          -0.239          -0.269
2945                     34.309         145.728          98.874         185.702         534.550         274.785        1289.790         552.525         217.680        1492.116         581.102         207.996          -0.014          -0.032          -0.242          -0.271
2950                     35.620         125.273          75.093         117.244         264.046          99.677        1448.250         619.611         243.796        1672.520         654.272         235.240          -0.035          -0.074          -0.319          -0.352
2951                    692.619         754.485         247.627           2.855          27.652          38.578        1471.330         622.819         242.446        1696.076         659.475         235.667          -0.167           0.010          -0.324          -0.355
2963                    105.348         244.491         253.224           0.000           0.133          10.645        1424.651         623.147         250.705        1649.945         659.236         242.128           0.001          -0.028          -0.314          -0.346
2971                    194.771         363.068         310.241           0.000           0.852          46.363        1430.257         618.591         246.067        1642.917         653.200         238.724          -0.036          -0.016          -0.313          -0.344
2982                     70.041          77.951          18.311          57.853          85.040          21.373        1298.251         554.348         217.687        1476.381         581.838         210.764          -0.112          -0.082          -0.235          -0.260
2990                      6.498          56.943          84.062         424.290         734.664         421.323        1288.464         550.578         216.368        1455.362         572.866         207.263           0.019          -0.052          -0.230          -0.255
2991                      0.000           0.676          25.074         228.773         270.345         125.368        1294.642         552.853         217.118        1467.215         575.675         207.605          -0.082          -0.095          -0.236          -0.262
2995                      3.747          13.765          10.306          60.273          83.335          29.066        1297.427         551.611         215.674        1481.145         576.479         206.215          -0.013          -0.086          -0.235          -0.262
2998                      3.747          13.765          10.306          60.273          83.335          29.066        1297.427         551.611         215.674        1481.145         576.479         206.215          21.071           1.421          -0.236          -0.262
3002                    672.160         455.847         124.685           3.290          10.449          12.122        1494.250         626.943         241.886        1672.272         655.401         236.092          -0.254           0.016          -0.323          -0.349
3003                     57.580          67.234          13.216          24.639          65.753          26.866        1308.565         556.178         217.392        1480.538         578.719         207.913          -0.107          -0.036          -0.237          -0.263
3004                    297.106         249.606          36.884         213.933         265.603          80.139        1320.379         555.374         214.811        1463.935         574.712         207.375          -0.147          -0.098          -0.237          -0.260
3010                      0.207           9.853          20.100         212.390         335.822         149.751        1291.892         551.279         216.342        1499.152         582.068         207.704           0.006          -0.069          -0.236          -0.264
3015                     72.504         240.911         109.807         392.894         945.701         347.661        1313.114         557.397         217.589        1489.970         580.984         208.213          -0.026          -0.043          -0.239          -0.265
3024                     20.503          29.236          11.736           0.536          10.041           9.468        1455.829         621.564         244.054        1706.462         662.991         236.736          -0.124          -0.002          -0.324          -0.358
3025                      0.053           8.282           2.760         137.612         131.763          33.008        1337.226         559.179         215.013        1502.814         581.938         207.101          -0.441          -0.133          -0.242          -0.267
3029                     23.522         100.627          48.338         367.533         562.510         170.669        1300.130         553.518         216.718        1493.936         581.067         207.715          -0.017          -0.077          -0.234          -0.262
3030                     14.848          87.273          65.930         219.149         447.263         202.571        1309.110         555.282         216.600        1525.190         586.460         207.236          -0.007          -0.051          -0.241          -0.270
3032                     13.626          36.555          31.109           8.127          25.513          21.615        1482.742         630.870         246.849        1699.180         663.843         238.372          -0.028          -0.024          -0.325          -0.356
3038                    118.051         105.052          31.241           1.317           8.815           8.286        1464.644         623.578         244.156        1716.255         662.981         235.368          -0.207          -0.007          -0.327          -0.362
3040                    140.370         309.265         169.445         140.085         376.555         231.592        1286.780         555.724         220.735        1505.275         584.229         208.397          -0.042          -0.029          -0.236          -0.268
3041                    235.782         325.889         120.772           0.668          18.709          36.408        1481.779         628.424         245.092        1705.187         663.349         237.171          -0.133           0.010          -0.329          -0.361
3045                     26.883          79.419          37.699         165.866         327.984         126.700        1291.506         555.583         219.810        1483.809         580.092         208.440          -0.031          -0.056          -0.238          -0.267
3064                     43.332         118.567          51.021         165.523         297.624         100.614        1277.920         556.378         222.799        1501.625         588.584         212.045          -0.036          -0.065          -0.235          -0.266
3062                    122.557         273.199           3.211          10.887          13.863           6.581        1444.566         630.892         253.430        1720.289         674.320         242.943          -0.056          -0.135          -0.322          -0.360
3067                    202.086         252.583         126.726           0.000           0.259          22.566        1492.230         636.791         249.909        1753.750         678.315         241.116          -0.134          -0.068          -0.328          -0.364
3068                    112.061         120.021          22.683          20.069          18.364           5.007        1466.852         633.032         251.257        1742.559         677.138         241.831          -0.180          -0.205          -0.325          -0.362
3071                     34.046         110.910          47.849         241.811         453.650         171.223        1291.244         560.477         223.757        1504.097         590.510         213.087          -0.029          -0.062          -0.242          -0.273
3072                      5.919           9.887           9.528          82.395         119.849          35.874        1297.093         560.183         222.508        1511.983         590.926         212.268           0.001          -0.087          -0.243          -0.274
3075                     -6.514          -6.217          -0.027          64.727          97.976          34.694        1337.513         571.221         224.356        1505.021         593.474         215.107          -0.085          -0.081          -0.243          -0.270
3084                    207.884         248.288          93.107           0.000           0.323          14.659        1444.597         631.890         254.229        1711.415         676.913         246.100          -0.153          -0.447          -0.319          -0.355
3087                      1.920           4.441           1.531          46.477          67.177          29.470        1303.939         562.138         222.885        1520.394         595.469         214.355          -0.047          -0.079          -0.238          -0.267
3090                      0.000           1.594          16.817         261.102         273.535          79.806        1287.986         564.290         227.398        1490.906         593.714         217.334          -0.072          -0.125          -0.238          -0.268
3678                      0.000           1.594          16.817         261.102         273.535          79.806        1287.986         564.290         227.398        1490.906         593.714         217.334          -1.000          -1.000          -0.238          -0.268
3092                      1.890          18.533          15.654         210.855         908.777         993.298        1289.509         560.780         224.303        1473.717         585.842         214.074          -0.002           0.009          -0.231          -0.260
3094                     51.764         112.655          94.051         224.816         976.868        1142.251        1310.553         570.007         228.024        1488.184         595.463         219.023          -0.018           0.015          -0.238          -0.265
3095                    504.100         417.235          42.366          22.140          82.906          32.001        1433.913         630.550         255.046        1689.284         673.321         246.699          -0.222          -0.039          -0.317          -0.353
